grupedad	codmuer	critred1011
NEONATAL	A391	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A392	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A393	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A394	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A395	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A398	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A399	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A400	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A401	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A402	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A403	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A408	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A409	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A410	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A411	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A412	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A413	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A414	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A415	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A418	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A419	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A480	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A481	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A482	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A483	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A484	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A490	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A491	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A492	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A493	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A498	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A499	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A488	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A327	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
NEONATAL	A328	REDUCIBLE EN EL RECIEN NACIDO POR TRATAMIENTO CLINICO
